img    rxn_coord       energy       f_para
  0     0.000000     0.000000    -0.001131
  1     0.203735     0.021767    -0.255139
  2     0.407142     0.105927    -0.620684
  3     0.610692     0.269882    -0.990657
  4     0.814310     0.510651    -1.246551
  5     1.018105     0.799179    -1.433262
  6     1.221999     1.118370    -1.475671
  7     1.426032     1.434029    -1.431750
  8     1.630093     1.731575    -1.321434
  9     1.834023     1.998230    -1.117142
 10     2.038128     2.213715    -0.900699
 11     2.241913     2.368156    -0.479378
 12     2.445799     2.418961     0.013354
 13     2.649331     2.346481     0.725813
 14     2.852839     2.104591     1.625390
 15     3.056210     1.679886     2.528249
 16     3.260092     1.082184     3.292655
 17     3.463434     0.357849     3.774437
 18     3.667626    -0.426849     3.817801
 19     3.871105    -1.158112     3.281172
 20     4.075186    -1.719261     2.090735
 21     4.278887    -1.948471     0.000815
